[2022-09-07 05:36:05] Node GetValue(9): 1
[2022-09-07 05:36:05] Node GetValue(2): TRUE
[2022-09-07 05:36:06] Node GetValue(9): 1
[2022-09-07 05:36:06] Node GetValue(2): TRUE
[2022-09-07 05:36:08] Node GetValue(9): 1
[2022-09-07 05:36:08] Node GetValue(2): TRUE
[2022-09-07 05:36:09] Node GetValue(9): 1
[2022-09-07 05:36:09] Node GetValue(2): TRUE
[2022-09-07 13:36:05] Node GetValue(9): 1
[2022-09-07 13:36:05] Node GetValue(2): TRUE
[2022-09-07 13:36:07] Node GetValue(9): 1
[2022-09-07 13:36:07] Node GetValue(2): TRUE
[2022-09-07 13:36:11] Node GetValue(9): 1
[2022-09-07 13:36:11] Node GetValue(2): TRUE
[2022-09-07 13:36:12] Node GetValue(9): 1
[2022-09-07 13:36:12] Node GetValue(2): TRUE
[2022-09-07 21:36:04] Node GetValue(9): 1
[2022-09-07 21:36:04] Node GetValue(2): TRUE
[2022-09-07 21:36:05] Node GetValue(9): 1
[2022-09-07 21:36:05] Node GetValue(2): TRUE
[2022-09-07 21:36:07] Node GetValue(9): 1
[2022-09-07 21:36:07] Node GetValue(2): TRUE
[2022-09-07 21:36:08] Node GetValue(9): 1
[2022-09-07 21:36:08] Node GetValue(2): TRUE
[2022-09-08 05:36:05] Node GetValue(9): 1
[2022-09-08 05:36:05] Node GetValue(2): TRUE
[2022-09-08 05:36:06] Node GetValue(9): 1
[2022-09-08 05:36:06] Node GetValue(2): TRUE
[2022-09-08 05:36:09] Node GetValue(9): 1
[2022-09-08 05:36:09] Node GetValue(2): TRUE
[2022-09-08 05:36:10] Node GetValue(9): 1
[2022-09-08 05:36:10] Node GetValue(2): TRUE
[2022-09-08 23:09:17] Node GetValue(9): 1
[2022-09-08 23:09:17] Node GetValue(2): TRUE
[2022-09-08 23:09:18] Node GetValue(9): 1
[2022-09-08 23:09:18] Node GetValue(2): TRUE
[2022-09-08 23:09:21] Node GetValue(9): 1
[2022-09-08 23:09:21] Node GetValue(2): TRUE
[2022-09-08 23:09:22] Node GetValue(9): 1
[2022-09-08 23:09:22] Node GetValue(2): TRUE
